title,institution,place,description,source_number,source_url,image_url,lat,lon,license,author,date
"Sandviksveien 62 (Sandviksveien 62, Bergen)",Riksantikvaren,Bergen,300. Eneret Wilse,T248_02_0361.jpg,URN:NBN:no-RAKV_arkiv_01D811038242469B B2C9657640968794,http://www.knreise.no/img/riksantikvaren/T248_02_0361.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
"Sandviksveien 62 (Sandviksveien 62, Bergen)",Riksantikvaren,Bergen,300 Eneret Wilse,T248_02_0362.jpg,URN:NBN:no-RAKV_arkiv_1B91B66C8E4F4BC2 A8A878ACEF4A00E0,http://www.knreise.no/img/riksantikvaren/T248_02_0362.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
"Sandviksveien 62 (Sandviksveien 62, Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_02_0363.jpg,URN:NBN:no-RAKV_arkiv_60F09FE025E847FE 833A21B15019E34A,http://www.knreise.no/img/riksantikvaren/T248_02_0363.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Sandviksveien (Bergen),Riksantikvaren,Bergen,288. Eneret Wilse,T248_02_0364.jpg,URN:NBN:no-RAKV_arkiv_2801EB7EC92A4093 8B008944179BD379,http://www.knreise.no/img/riksantikvaren/T248_02_0364.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
"Sandviksveien 62 (Sandviksveien 62, Bergen)",Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0365.jpg,URN:NBN:no-RAKV_arkiv_38095DD2CDFA4B4E B4E703A5C6E35182,http://www.knreise.no/img/riksantikvaren/T248_02_0365.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Sandviksboder (Bergen),Riksantikvaren,Bergen,291. Eneret Wilse,T248_02_0367.jpg,URN:NBN:no-RAKV_arkiv_404CD1D4A5144FFA 9D0CB539480DCA58,http://www.knreise.no/img/riksantikvaren/T248_02_0367.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
Sandviksboder (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0370.jpg,URN:NBN:no-RAKV_arkiv_DC4022796C864C3C BC4986521CBB53F4,http://www.knreise.no/img/riksantikvaren/T248_02_0370.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Starvhusgaten (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_02_0371.jpg,URN:NBN:no-RAKV_arkiv_B01BD2B0D2494669 AF1CCC81518C9A0D,http://www.knreise.no/img/riksantikvaren/T248_02_0371.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Småstrandgaten (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_02_0372.jpg,URN:NBN:no-RAKV_arkiv_90DFF22F56AB4178 9B7F1EFDE683C0CC,http://www.knreise.no/img/riksantikvaren/T248_02_0372.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Starvhusgaten (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_02_0373.jpg,URN:NBN:no-RAKV_arkiv_C972C3E2BA3E4AAD 814F6A0402893841,http://www.knreise.no/img/riksantikvaren/T248_02_0373.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
